,None,D0,D1,D2,D3,D4
236,53.21,34.1,12.69,0.0,0.0,0.0
237,53.58,33.73,12.69,0.0,0.0,0.0
238,55.7,31.61,12.69,0.0,0.0,0.0
239,55.7,31.61,12.69,0.0,0.0,0.0
240,55.7,31.61,12.69,0.0,0.0,0.0
241,55.7,34.4,9.9,0.0,0.0,0.0
242,65.38,24.72,9.9,0.0,0.0,0.0
243,69.09,22.67,8.24,0.0,0.0,0.0
244,73.98,17.78,8.24,0.0,0.0,0.0
245,73.98,17.78,8.24,0.0,0.0,0.0
246,77.9,13.86,8.24,0.0,0.0,0.0
247,77.9,13.86,8.24,0.0,0.0,0.0
248,77.9,13.86,8.24,0.0,0.0,0.0
249,77.88,13.88,8.24,0.0,0.0,0.0
250,77.88,13.88,8.24,0.0,0.0,0.0
251,77.88,13.88,8.24,0.0,0.0,0.0
252,77.88,13.88,8.24,0.0,0.0,0.0
253,77.88,13.88,8.21,0.04,0.0,0.0
254,77.88,13.88,8.21,0.04,0.0,0.0
255,77.88,13.88,8.21,0.04,0.0,0.0
256,77.88,13.88,8.21,0.04,0.0,0.0
257,77.88,13.88,8.21,0.04,0.0,0.0
258,77.86,13.9,8.21,0.04,0.0,0.0
259,77.86,13.9,7.18,1.06,0.0,0.0
260,77.86,13.9,7.18,1.06,0.0,0.0
261,75.73,16.03,7.18,1.06,0.0,0.0
262,75.69,16.06,7.18,1.06,0.0,0.0
263,76.46,15.3,7.18,1.06,0.0,0.0
264,76.46,15.3,7.18,1.06,0.0,0.0
265,76.47,15.29,7.18,1.06,0.0,0.0
266,76.47,15.29,7.18,1.06,0.0,0.0
267,76.47,15.29,7.18,1.06,0.0,0.0
268,76.47,15.29,7.18,1.06,0.0,0.0
269,76.47,15.29,7.18,1.06,0.0,0.0
270,76.47,15.29,7.18,1.06,0.0,0.0
271,76.47,15.29,7.18,1.06,0.0,0.0
272,76.47,15.29,7.18,1.06,0.0,0.0
273,76.47,15.29,7.18,1.06,0.0,0.0
274,76.54,15.22,7.18,1.06,0.0,0.0
275,76.54,15.22,7.18,1.06,0.0,0.0
276,76.54,15.22,7.18,1.06,0.0,0.0
277,76.54,15.22,7.18,1.06,0.0,0.0
278,76.54,15.22,7.18,1.06,0.0,0.0
279,76.54,15.22,7.18,1.06,0.0,0.0
280,76.54,15.22,7.18,1.06,0.0,0.0
281,76.54,15.22,7.14,1.1,0.0,0.0
282,74.49,16.78,4.65,4.08,0.0,0.0
283,61.66,21.47,12.69,4.19,0.0,0.0
284,43.94,31.86,16.78,6.68,0.73,0.0
285,41.46,11.56,36.05,10.2,0.73,0.0
286,38.98,10.22,30.51,18.42,1.87,0.0
287,38.73,9.87,24.94,24.3,2.16,0.0
288,35.56,6.93,13.16,20.05,22.17,2.13
289,34.62,7.16,9.0,21.42,25.67,2.13
290,18.07,14.32,13.59,15.85,19.87,18.31
291,17.47,13.66,11.07,17.19,22.29,18.31
292,15.09,14.8,11.02,17.54,21.8,19.75
293,12.16,14.8,12.77,17.47,21.76,21.04
294,12.03,14.93,12.77,17.47,21.76,21.04
295,12.03,14.93,12.77,17.47,21.76,21.04
296,12.03,14.93,12.77,17.47,21.76,21.04
297,12.03,14.93,12.77,17.47,21.76,21.04
298,12.03,14.93,12.77,17.47,21.76,21.04
299,12.03,12.71,13.88,18.58,21.76,21.04
300,8.96,9.92,19.32,19.0,21.76,21.04
